saddr,udp_pkt_size
203.43.229.62,17
203.43.5.55,17
216.4.38.66,33
208.49.85.249,33
203.43.230.188,17
203.43.101.101,17
109.40.118.84,33
203.43.221.67,17
45.249.8.86,48
223.101.198.115,33
103.228.204.252,55
110.238.108.141,53
121.201.124.244,933
117.211.223.57,65
120.77.159.243,654
36.139.90.108,96
18.192.179.9,26
147.168.183.89,33
132.145.25.96,64
144.77.162.56,33
97.64.173.223,16
87.180.211.48,33
49.4.92.93,52
50.145.25.68,29
37.220.27.179,1206
27.22.35.167,33
50.218.204.101,29
54.241.53.5,1408
62.75.182.118,191
38.82.194.2,1408
66.42.52.210,1408
69.39.235.80,1408
8.30.246.164,1408
83.80.4.110,29
83.149.170.52,88
168.86.135.86,108
101.201.149.26,236
203.43.36.245,17
203.43.121.110,17
201.139.170.234,72
103.168.19.85,1179
103.48.194.200,1408
203.43.112.81,17
203.43.132.32,17
128.241.3.76,1157
203.43.138.96,17
203.43.219.248,17
203.43.60.246,17
203.43.181.208,17
101.200.89.160,385
24.162.127.72,27
103.29.16.246,1408
103.72.97.221,131
103.77.241.152,53
101.37.157.74,1408
118.31.168.159,53
149.5.115.227,21
178.154.223.93,141
203.43.4.55,17
45.119.82.179,885
168.86.172.199,108
110.167.62.27,72
145.239.63.120,1408
143.64.224.225,1408
149.129.179.165,1408
180.168.165.165,1182
185.126.34.20,55
190.105.0.32,224
194.59.206.110,88
219.117.252.242,72
47.104.221.142,1408
50.171.122.28,29
50.217.226.42,29
50.239.72.18,29
212.74.171.204,33
51.161.15.69,1408
54.204.42.9,21
5.9.101.137,1195
66.246.149.22,28
33.96.125.132,33
203.43.127.142,17
162.254.201.155,108
89.248.161.131,1408
239.62.184.142,33
117.219.31.237,321
117.50.73.16,84
118.112.183.17,196
120.79.84.157,21
121.201.95.130,53
121.36.155.59,1408
121.40.164.155,1408
121.41.151.58,1408
121.41.31.205,1408
121.42.11.159,1408
128.241.3.66,1157
69.49.94.63,58
98.1.38.48,33
145.239.67.219,230
159.138.55.169,1408
194.242.45.36,53
33.239.183.239,33
202.53.67.90,65
222.211.65.134,1408
173.119.24.68,33
155.192.240.187,33
203.248.104.83,20
222.142.68.93,33
77.26.72.251,33
220.223.138.247,33
203.43.40.134,17
51.254.211.47,52
203.43.90.216,17
203.43.56.55,17
248.216.122.46,57
113.204.216.1,33
85.231.132.216,33
179.60.254.70,88
226.218.104.111,33
52.79.178.231,26
45.85.52.13,33
46.222.103.81,33
190.111.38.65,33
6.252.119.160,33
175.240.194.107,33
22.232.69.90,66
38.174.20.170,42
18.195.204.114,26
12.32.70.127,33
176.216.100.174,33
77.142.195.103,33
203.43.55.220,17
203.43.188.133,17
203.43.252.244,17
95.255.104.45,33
237.39.48.233,33
203.43.62.104,17
69.104.239.212,22
88.19.47.34,33
203.43.223.233,17
20.132.196.2,38
203.43.95.206,17
221.181.236.136,104
203.43.93.30,17
203.43.165.30,17
46.58.135.28,33
213.85.7.112,33
1.88.7.74,16
116.99.126.8,1408
83.219.55.170,69
48.206.197.115,43
199.17.245.37,25
203.43.35.116,17
12.116.64.219,58
17.39.121.21,33
244.38.33.214,33
79.118.104.24,33
129.43.177.232,33
71.178.218.107,33
229.172.246.220,33
13.251.81.161,26
209.140.48.172,33
203.147.197.116,33
203.43.158.221,17
59.8.39.184,33
203.43.183.78,17
166.61.63.44,33
185.15.92.236,72
93.81.158.106,33
4.202.100.244,33
164.82.33.193,33
91.237.106.234,33
33.175.230.200,33
228.125.90.58,33
205.57.176.79,33
94.23.83.141,72
3.36.26.193,26
201.240.148.248,33
245.63.184.203,33
60.0.114.119,52
53.192.233.48,33
213.161.91.50,40
55.116.179.123,33
203.43.77.36,17
203.43.2.9,17
203.43.218.182,17
203.43.139.116,17
203.43.77.176,17
203.43.60.198,17
43.203.207.25,26
216.155.88.175,33
180.228.234.20,17
12.73.108.163,33
15.175.16.227,33
208.135.255.149,33
5.204.225.65,33
61.213.230.7,72
35.85.35.130,26
