saddr,udp_pkt_size
81.17.110.2,16
223.16.160.73,56
66.181.12.129,16
206.176.243.35,16
200.231.110.226,16
113.211.93.146,448
216.251.234.209,16
81.25.9.72,16
158.41.58.82,16
220.241.146.220,16
58.186.113.115,56
216.239.35.12,56
123.20.24.48,56
102.159.28.148,56
124.82.103.100,56
77.244.140.187,16
211.75.195.24,56
95.171.111.54,56
5.104.136.226,16
114.141.28.150,16
197.188.36.244,16
45.142.183.46,16
67.36.167.104,16
193.248.58.78,56
42.200.192.34,56
14.231.26.59,448
206.41.146.57,16
189.125.229.194,16
216.239.35.8,56
65.141.129.130,56
8.243.56.66,16
3.8.89.242,26
65.140.95.3,56
203.222.185.129,16
212.165.41.64,16
184.104.204.34,16
125.9.230.1,16
79.10.2.172,56
14.255.38.203,56
195.239.192.13,16
60.250.192.252,56
122.155.160.42,16
200.59.251.192,56
208.86.65.79,16
81.17.110.50,16
216.239.35.0,56
162.159.200.1,56
10.75.75.9,16
14.186.119.104,56
91.210.3.177,16
201.65.142.74,16
88.157.98.86,16
200.228.188.106,16
91.228.58.197,56
201.145.239.181,56
130.37.160.9,16
216.239.35.4,56
66.57.43.30,16
84.241.40.47,56
197.188.40.6,16
201.163.192.252,16
191.220.221.40,56
38.131.219.218,16
220.158.234.4,56
40.81.94.65,56
185.31.211.102,16
41.212.5.118,16
36.230.153.220,76
220.133.254.82,56
14.241.239.109,56
152.70.69.232,56
200.3.125.193,16
182.76.128.39,76
213.8.168.93,16
62.72.136.34,16
201.30.116.254,16
202.112.29.82,56
203.150.129.110,76
58.27.231.3,56
50.201.233.254,16
203.186.175.210,16
177.56.224.239,16
27.111.230.13,16
64.238.188.111,56
1.53.90.252,56
83.221.23.78,16
27.75.203.84,56
123.21.21.59,56
220.132.30.140,56
184.69.92.234,16
185.248.87.249,16
203.168.58.106,76
69.241.19.18,16
81.161.32.225,16
210.153.0.152,16
201.65.89.166,16
169.47.188.77,16
113.181.180.100,56
105.145.32.122,68
51.16.52.111,26
103.9.89.53,16
66.147.230.47,16
85.175.144.194,16
1.165.31.203,76
204.154.125.161,16
162.159.200.123,56
84.21.184.78,76
24.101.247.98,76
114.33.52.192,56
43.225.64.225,16
179.104.115.82,56
118.91.8.12,16
109.109.209.133,16
218.166.140.252,76
94.18.201.94,16
103.30.82.5,16
200.35.65.4,16
217.64.240.25,16
114.35.125.110,448
62.93.50.53,16
171.225.114.230,56
186.166.205.98,76
87.22.235.254,16
14.163.172.75,56
208.75.96.30,16
186.154.220.206,16
31.130.200.1,16
79.147.255.3,56
41.230.64.224,76
49.124.147.163,76
45.147.130.98,56
204.114.12.188,16
219.76.106.66,16
217.75.214.89,16
64.69.101.145,16
211.239.127.184,16
122.116.155.230,56
117.5.86.4,56
219.85.229.179,56
114.26.156.64,76
149.135.71.50,16
213.242.118.38,16
70.39.246.242,16
84.21.224.241,16
47.180.36.129,76
81.28.160.111,76
220.158.235.228,56
202.4.42.210,16
91.189.91.157,56
4.31.206.114,16
61.16.81.254,16
77.246.169.154,16
13.115.106.111,26
207.244.150.2,16
212.85.201.133,16
202.51.105.206,16
62.236.255.33,16
8.243.166.43,16
170.176.224.169,16
47.155.13.220,56
211.15.179.11,16
30.1.151.146,16
123.194.140.157,16
79.154.230.160,56
216.66.39.126,16
195.18.39.53,16
223.165.7.71,16
87.24.7.254,16
220.228.144.18,16
114.33.85.66,56
95.56.237.97,16
200.255.178.114,16
185.100.33.0,16
14.171.163.223,56
50.120.174.66,16
82.140.120.12,16
200.251.185.102,16
122.49.221.5,16
178.214.24.182,56
114.37.0.13,76
177.38.128.254,16
114.37.202.54,16
217.64.243.169,16
91.205.123.149,16
200.186.117.67,16
37.29.25.35,16
103.19.175.115,16
77.139.210.51,76
62.147.121.70,16
185.214.184.46,16
52.40.213.33,448
36.233.230.250,76
114.38.205.211,76
67.140.190.146,16
79.9.85.147,76
2.192.132.150,76
216.127.149.13,16
207.190.200.53,16
210.61.41.89,56
212.175.18.86,16
24.202.4.88,56
79.15.102.254,16
91.192.72.157,16
167.250.0.252,16
173.199.232.1,16
46.171.152.106,56
220.132.155.225,56
178.117.83.23,56
87.236.185.209,16
85.88.188.205,16
207.154.71.182,16
166.49.225.139,16
50.223.239.186,200
212.27.38.93,16
212.27.49.211,16
46.43.91.10,56
114.35.32.181,56
187.28.135.150,16
46.153.209.227,448
203.146.131.78,16
102.222.163.11,16
49.142.0.94,16
195.239.77.13,16
184.23.30.94,16
114.35.254.149,56
185.67.254.65,16
200.211.170.122,16
77.200.148.180,56
72.20.149.170,16
84.16.67.12,56
106.1.158.153,56
178.183.175.30,76
202.210.136.90,16
85.222.86.198,56
189.2.36.38,16
91.219.52.98,16
84.217.143.194,76
173.246.230.154,16
150.197.220.3,16
103.35.99.213,16
185.117.248.6,16
125.228.173.3,56
174.93.67.243,56
187.55.0.72,56
62.72.136.241,16
74.39.134.77,16
82.195.17.162,16
122.214.12.102,16
62.97.41.125,16
59.103.77.27,16
195.228.79.95,16
31.186.48.146,16
218.255.246.90,16
47.225.244.221,76
133.88.2.197,16
190.219.15.24,56
177.69.64.117,16
178.242.157.152,76
14.247.128.255,56
203.44.171.242,16
62.147.120.201,16
103.17.182.30,56
110.164.197.137,16
107.151.33.98,16
187.32.84.134,56
200.179.239.42,16
200.69.153.9,16
203.135.79.244,16
85.194.155.33,16
101.78.153.98,16
170.231.156.59,56
69.24.112.82,16
171.251.40.225,56
87.23.43.254,16
216.196.137.51,56
85.221.227.80,56
36.225.157.56,76
212.231.191.59,56
212.119.211.21,16
181.165.36.4,56
84.21.226.69,16
167.160.91.2,16
83.142.153.210,56
115.78.12.18,56
195.218.188.170,16
18.231.251.246,26
217.16.73.172,56
114.25.187.30,76
125.227.71.224,56
79.5.42.254,16
14.169.124.178,56
91.212.80.254,16
185.144.200.133,16
10.200.200.3,448
186.230.185.191,16
115.77.113.26,56
189.112.237.113,16
220.135.123.25,448
193.239.73.53,16
74.113.137.34,16
14.0.59.2,16
142.154.204.37,16
87.249.11.241,16
102.218.212.14,16
212.146.81.97,16
200.241.63.186,16
69.39.83.233,16
195.239.255.68,16
82.137.109.159,56
212.92.2.173,16
91.18.162.76,16
208.82.176.184,16
185.238.184.3,16
67.78.137.117,76
67.217.55.243,448
45.153.133.1,16
41.204.184.53,16
185.237.86.19,56
216.239.191.165,16
89.190.39.225,16
13.229.146.196,26
201.73.41.122,16
46.171.114.142,56
118.71.140.8,56
114.33.220.226,76
91.189.232.10,16
199.102.138.81,16
80.68.83.29,16
189.155.91.151,232
114.33.199.68,56
162.255.18.42,16
87.120.178.229,56
92.84.60.73,56
181.118.77.192,16
213.171.48.116,16
176.53.211.5,16
77.41.146.113,16
172.16.34.102,16
59.126.102.69,56
114.198.144.177,16
171.224.69.73,56
109.71.194.24,16
208.74.80.227,16
31.223.250.112,16
73.46.107.140,56
190.24.119.145,56
203.194.179.146,16
61.205.121.18,16
189.86.28.86,16
128.119.8.119,16
1.168.86.24,76
64.74.160.2,16
202.238.56.100,16
64.187.115.219,16
208.197.37.254,16
179.57.28.7,56
185.125.190.58,56
216.104.202.65,16
14.186.196.192,56
181.168.41.16,56
116.108.37.191,16
189.86.51.142,16
128.241.0.57,16
213.215.18.174,16
212.1.113.20,16
200.214.19.130,16
83.14.247.19,56
138.210.88.93,16
172.254.59.250,56
70.166.54.17,16
210.236.209.105,16
58.168.252.29,56
38.142.178.218,16
196.60.9.184,16
65.107.38.13,16
83.16.198.122,56
104.251.122.1,16
192.168.220.243,16
174.128.228.112,16
71.114.65.241,56
211.73.14.157,16
177.5.250.243,56
178.160.205.82,16
27.71.4.87,56
189.86.226.94,16
85.9.21.61,16
212.13.224.242,16
196.47.75.242,16
208.95.26.28,16
216.177.6.230,16
73.92.152.74,76
177.124.56.209,16
190.121.128.77,16
216.99.48.130,16
189.87.163.254,16
188.164.145.1,76
202.154.207.98,16
189.23.78.58,16
220.143.213.165,56
200.57.64.154,16
182.54.128.137,16
211.125.114.134,16
217.18.148.78,16
201.49.64.174,16
187.28.57.86,16
200.69.206.22,16
210.61.186.58,56
212.1.84.253,16
116.102.82.106,56
78.189.203.245,56
171.252.206.61,56
113.53.238.165,16
145.97.192.13,16
217.110.177.3,16
200.178.48.34,16
88.200.223.101,16
116.106.235.179,56
123.195.97.166,16
184.186.141.209,16
72.138.32.121,16
63.247.144.105,16
206.176.227.124,16
80.239.152.73,16
216.215.4.113,16
123.20.5.179,16
208.42.192.34,16
4.20.14.6,16
142.254.118.122,16
154.72.103.228,16
185.103.71.172,56
185.125.190.56,56
94.32.100.1,16
194.44.6.142,16
212.1.86.73,16
82.149.194.137,16
83.191.185.178,76
45.116.179.242,448
195.221.127.224,16
121.0.6.14,16
212.160.202.217,16
107.155.46.1,16
212.92.215.111,16
46.180.184.98,16
220.247.197.2,16
89.205.52.96,56
42.116.169.230,56
62.249.154.5,16
37.110.255.66,16
208.95.26.137,16
203.159.104.37,16
62.117.101.9,16
195.239.255.105,16
147.91.6.10,16
177.12.62.28,16
108.176.233.106,56
103.16.157.61,76
185.153.99.169,60
111.251.197.195,76
219.85.124.132,76
196.45.136.1,16
220.133.190.97,76
38.64.6.234,16
10.226.114.76,16
59.115.150.199,76
178.185.219.70,16
186.31.255.170,16
201.6.124.55,56
91.239.160.66,16
140.189.1.80,16
162.244.180.7,16
41.84.192.82,16
186.127.193.154,56
102.117.229.219,56
50.207.105.39,200
186.207.205.154,56
13.60.90.21,448
200.210.170.54,16
62.67.77.243,16
98.97.240.32,16
192.50.109.82,16
95.175.149.25,16
114.34.143.90,56
66.223.154.9,16
138.217.117.54,16
27.75.162.96,56
82.143.156.237,56
201.54.233.57,16
114.33.105.112,56
200.230.35.58,16
36.235.185.215,56
196.195.228.13,16
83.240.133.166,16
46.55.199.227,56
144.140.210.38,16
172.19.0.46,16
182.52.66.190,56
136.175.207.45,16
103.165.36.42,16
203.27.138.154,16
200.210.60.190,16
200.112.135.113,76
52.144.41.90,16
45.138.47.192,16
66.163.159.71,16
200.227.18.138,16
115.77.31.121,448
186.16.162.61,16
216.138.190.209,16
201.73.89.114,16
80.240.5.198,56
179.157.147.50,56
115.77.149.153,56
213.201.127.251,16
46.40.116.121,56
206.164.195.50,16
204.209.70.125,16
61.228.132.118,76
62.170.196.186,16
186.123.150.139,56
111.251.81.243,76
93.185.6.67,56
173.217.78.156,76
121.202.149.69,16
100.110.227.241,16
119.235.0.125,16
202.152.0.234,16
64.59.181.219,16
89.249.248.5,16
181.30.52.226,56
79.134.111.27,56
185.97.112.234,16
65.73.239.137,16
193.51.185.1,16
89.47.96.33,16
65.255.244.14,16
113.175.119.35,16
211.12.193.66,16
201.39.21.90,16
185.146.184.105,16
97.107.149.194,16
222.126.248.21,16
92.52.184.70,88
86.61.71.65,56
223.165.7.135,16
116.90.162.121,16
8.17.47.97,16
212.34.32.141,16
83.24.29.112,56
81.17.113.34,16
217.64.64.21,16
84.250.225.201,56
79.28.195.254,16
66.242.192.7,16
103.16.182.23,56
83.218.230.1,16
194.228.86.201,16
92.46.53.46,16
178.169.219.76,56
211.75.51.35,16
195.167.197.35,16
81.211.10.169,16
201.78.140.38,56
36.235.115.161,56
36.231.113.83,76
115.76.242.66,56
1.4.174.221,16
77.244.141.114,16
83.244.228.115,16
77.222.150.66,448
202.43.164.209,16
69.54.63.153,16
61.238.147.12,16
203.255.129.189,16
59.103.243.35,16
177.23.16.21,56
78.36.60.225,16
1.165.115.122,76
206.166.75.86,16
67.55.169.195,56
154.72.156.226,16
171.231.77.221,448
210.244.192.43,16
185.8.233.51,16
97.75.238.147,76
171.226.237.28,56
202.238.56.110,16
206.214.255.38,16
212.72.99.249,16
59.148.246.52,16
91.240.230.19,16
187.235.200.252,56
201.73.41.110,16
116.107.112.255,56
78.139.63.174,56
78.68.49.25,76
84.232.234.19,56
217.139.253.251,16
8.42.226.241,16
31.47.199.34,16
82.77.65.234,56
85.89.185.102,56
103.70.192.213,16
67.238.125.117,16
80.180.255.254,16
200.95.191.114,16
202.4.186.250,56
115.243.137.77,56
10.111.112.253,16
41.63.245.201,76
10.255.248.157,16
220.109.206.237,16
148.51.252.95,16
210.1.63.97,16
123.21.95.216,56
41.186.1.161,16
84.21.228.41,16
5.154.206.61,16
194.44.6.226,16
197.148.64.163,16
181.96.44.189,16
187.29.165.10,16
113.168.88.155,56
174.127.150.79,16
77.235.201.229,16
91.228.62.10,16
115.75.13.8,56
202.65.114.202,56
79.4.240.254,16
201.16.214.110,56
148.170.0.35,16
189.152.144.45,56
91.193.76.129,16
203.80.11.169,16
201.253.221.96,56
87.25.149.254,16
185.227.188.201,56
212.0.70.75,16
64.89.249.118,16
50.184.28.10,56
212.69.156.233,16
1.9.22.65,16
62.115.147.191,16
118.98.159.2,16
216.254.132.166,16
173.248.227.213,76
196.206.227.220,56
171.242.64.19,56
78.10.141.44,56
216.9.5.113,16
220.133.158.203,56
81.25.11.13,16
103.166.11.100,16
200.252.110.78,16
179.245.54.66,16
181.143.78.5,56
154.66.245.70,16
1.34.176.207,56
79.4.178.254,16
209.204.0.79,16
98.73.217.99,160
154.72.103.229,16
37.157.23.177,16
91.148.136.189,56
120.236.246.189,16
62.214.24.201,16
88.210.34.209,16
208.123.110.210,16
108.60.228.145,16
86.110.8.129,16
82.65.226.80,16
171.239.42.75,56
201.64.73.254,16
199.255.10.25,16
203.35.14.209,16
97.79.39.42,76
62.150.5.10,16
94.26.61.68,16
123.240.129.118,76
36.235.19.165,76
185.139.21.254,16
201.140.147.33,16
220.133.189.56,56
62.93.34.1,16
50.251.199.217,16
200.166.38.226,16
122.169.100.237,56
189.52.66.142,16
82.105.23.254,16
203.44.171.74,16
186.1.206.93,16
27.68.10.236,56
213.221.24.78,16
186.153.180.201,16
104.218.36.194,56
202.77.39.140,16
149.18.50.2,16
190.104.198.30,56
62.147.120.102,16
217.74.246.142,76
209.174.65.14,16
178.22.150.189,16
203.27.138.210,16
96.75.33.125,16
192.143.226.220,56
89.106.28.130,16
201.245.172.57,56
83.145.10.69,16
198.51.101.1,448
114.4.3.2,16
113.161.91.173,16
10.20.12.156,16
212.123.22.74,16
201.217.4.99,304
88.207.140.216,16
106.1.140.17,76
116.99.153.224,56
178.218.18.190,16
85.199.224.202,16
45.15.44.36,16
82.112.20.30,16
185.160.58.93,16
211.115.199.23,16
82.126.156.210,56
67.21.1.153,16
182.171.248.209,56
151.247.227.39,56
202.148.7.158,16
100.110.222.121,16
217.19.17.122,16
94.63.157.205,56
14.128.11.14,16
212.55.28.49,16
162.245.108.130,16
207.231.214.13,16
24.222.185.246,16
195.239.255.34,16
131.203.246.170,16
190.8.45.143,16
189.52.41.150,16
82.107.181.254,16
77.41.150.206,16
61.239.100.17,56
114.30.89.30,56
118.232.215.17,16
51.16.77.36,56
202.12.97.45,56
216.220.232.193,16
13.233.29.139,26
211.13.169.109,16
212.210.58.222,16
199.201.92.4,16
190.27.52.164,56
88.103.250.250,16
79.54.252.254,56
189.40.216.1,16
67.21.1.129,16
88.148.125.185,16
193.193.193.112,16
159.192.14.64,16
125.228.220.74,56
117.251.80.229,16
203.109.206.16,56
180.75.91.208,88
216.12.29.33,16
200.227.18.42,16
190.250.5.91,76
122.116.6.40,56
95.20.247.73,56
172.16.33.102,448
46.163.57.246,16
103.88.233.250,16
190.146.7.78,56
1.170.65.139,76
196.45.153.37,16
200.252.186.58,16
209.177.74.202,16
91.222.60.82,16
130.204.180.74,56
212.27.55.81,16
82.204.158.74,16
96.95.41.82,56
94.183.156.182,56
84.232.230.134,56
118.170.39.61,76
199.204.90.33,16
153.142.8.68,16
183.178.61.53,56
114.134.88.29,16
149.248.68.1,16
183.178.105.236,16
79.41.33.110,56
109.123.47.89,16
82.90.46.254,16
189.102.0.86,56
69.39.102.203,16
59.126.152.222,56
187.70.76.208,16
2.189.122.99,56
201.48.137.166,56
203.52.170.66,16
209.164.239.210,16
163.139.90.126,16
186.250.116.253,16
103.122.214.10,16
38.104.250.154,16
190.104.182.213,56
203.80.247.17,16
203.147.92.229,16
36.226.98.125,76
194.106.168.146,16
95.142.75.169,16
65.183.1.182,16
45.220.150.227,16
190.208.66.33,16
103.10.30.149,16
189.112.107.14,56
86.47.156.41,16
94.198.173.50,16
189.22.37.2,16
10.248.197.4,16
203.125.129.130,16
38.50.113.221,56
110.138.222.7,16
208.99.40.35,16
203.49.250.99,16
91.203.124.97,16
200.26.92.126,16
194.186.6.233,16
185.70.188.119,56
14.162.100.227,56
204.209.70.120,16
81.4.156.144,56
60.50.62.114,448
87.28.114.254,16
80.237.100.233,448
50.221.25.166,16
115.73.46.61,56
200.246.103.94,16
123.16.82.247,56
192.168.221.94,16
79.117.42.253,56
103.169.192.229,56
203.113.174.44,56
168.181.125.86,56
109.166.174.212,76
213.60.186.3,16
85.199.241.57,16
195.167.89.20,56
187.28.48.86,16
203.198.52.230,16
10.200.200.8,448
194.223.155.161,16
147.136.96.32,16
41.220.64.254,16
95.172.71.74,16
188.168.98.202,56
189.22.85.22,16
69.6.163.1,16
135.180.114.190,16
15.152.45.47,26
81.17.113.46,16
177.152.132.165,16
196.205.60.61,16
77.241.2.125,16
41.223.126.49,16
104.223.91.254,16
118.71.62.78,56
83.69.121.121,16
73.124.220.158,56
217.147.18.209,16
194.154.73.58,16
204.29.205.58,16
58.71.194.27,16
154.197.105.168,76
81.201.203.16,16
64.250.86.46,16
195.167.196.98,16
128.140.189.19,56
113.61.170.237,16
168.91.31.246,16
80.250.64.1,16
195.167.197.34,16
14.169.72.35,56
81.17.113.50,16
213.205.21.50,16
150.99.188.54,16
1.163.115.212,76
69.30.240.154,16
213.196.224.35,448
185.255.211.11,56
200.172.37.102,16
220.158.233.214,56
94.53.164.57,56
211.73.25.62,16
118.166.78.144,56
122.117.61.5,56
81.17.110.36,16
194.6.230.16,16
201.39.111.158,16
103.94.168.12,16
202.52.252.129,16
203.142.33.77,16
220.133.177.116,56
200.241.171.18,16
197.242.198.193,16
150.140.197.65,16
198.199.206.136,16
213.222.217.2,16
186.37.84.110,56
217.64.240.225,16
42.113.121.171,56
201.31.21.22,16
109.72.153.4,16
84.1.159.1,16
89.47.105.65,16
75.91.108.150,16
213.205.24.192,16
46.28.104.42,16
111.118.151.171,56
208.73.136.254,16
179.189.115.27,56
65.181.86.80,56
221.124.228.179,16
45.72.188.2,16
213.153.152.42,56
36.37.76.171,16
197.188.45.169,16
115.85.21.178,16
69.160.127.65,16
184.104.236.107,16
198.37.29.137,16
201.39.81.213,16
220.158.233.154,56
52.148.114.188,56
151.237.243.81,16
125.229.139.143,56
216.187.171.89,16
31.217.251.33,16
211.78.82.190,16
103.12.247.110,16
85.233.58.249,16
88.205.239.22,16
210.121.79.1,16
195.229.74.249,16
61.194.50.189,16
79.4.252.254,16
37.80.41.224,448
62.244.27.121,16
185.74.41.1,16
200.167.225.230,16
200.212.132.122,16
68.69.151.24,16
123.192.251.28,76
103.187.138.1,16
189.112.196.38,56
195.34.160.34,16
210.66.13.37,56
220.241.146.252,16
202.124.129.105,16
35.182.243.216,26
202.173.68.70,16
208.71.142.189,16
86.63.6.153,16
152.104.125.60,16
125.62.224.25,16
81.17.114.46,16
91.212.242.154,16
125.229.167.225,56
62.182.31.109,16
42.118.100.165,56
64.239.152.97,16
153.208.192.189,76
88.82.77.234,16
80.92.241.65,16
1.53.207.155,56
181.213.124.100,56
100.64.7.17,16
200.231.152.162,16
201.54.226.217,16
118.233.241.53,76
195.18.35.153,16
189.22.137.14,16
200.183.209.106,16
124.241.158.203,16
202.124.157.244,16
217.18.179.225,16
80.130.226.19,56
200.248.216.210,16
198.41.81.227,16
123.20.254.159,56
5.153.138.137,16
213.205.31.101,16
208.110.165.2,16
59.144.36.106,16
187.32.79.98,56
204.239.41.41,16
217.196.208.122,16
216.237.226.65,16
206.255.175.21,16
78.107.253.3,56
106.1.140.186,76
181.49.206.66,16
190.119.114.115,56
212.192.131.177,16
188.9.85.252,56
109.88.188.21,56
186.31.118.87,56
81.17.113.58,16
147.136.96.33,16
123.194.112.238,16
113.184.52.25,56
147.53.254.14,56
189.3.144.226,16
113.172.172.104,56
182.255.33.1,16
85.12.138.81,16
12.191.248.140,56
203.237.63.125,16
41.220.180.228,16
98.142.24.53,16
34.226.246.83,26
170.239.225.79,56
203.236.215.253,16
94.183.153.186,56
18.231.168.11,26
65.116.183.50,16
75.127.225.243,56
195.234.212.234,16
62.2.52.94,16
178.22.148.97,16
213.200.24.25,16
98.72.22.204,304
81.3.141.1,16
200.245.151.2,16
181.15.142.177,16
46.16.212.102,16
50.232.131.242,56
66.223.250.95,16
193.193.198.89,16
61.62.207.224,76
90.116.132.169,56
75.130.221.163,76
106.104.112.87,76
40.134.38.226,16
195.222.7.43,16
195.158.9.179,16
156.59.230.99,16
187.43.17.65,16
99.92.93.38,56
199.48.78.122,16
204.156.195.34,16
210.149.120.5,16
180.218.109.136,16
14.169.216.243,56
203.159.125.244,16
210.3.144.14,16
203.150.129.41,76
179.243.243.109,16
82.106.85.254,16
82.127.20.93,56
192.168.9.250,16
81.17.113.30,16
61.95.105.162,16
114.35.121.204,56
193.108.116.17,16
122.155.160.34,16
185.9.85.177,16
61.221.125.187,16
63.237.116.202,56
210.212.68.61,16
201.16.236.6,56
194.160.5.174,16
189.53.165.102,16
79.82.129.23,56
94.32.67.2,16
91.216.205.10,16
194.38.133.153,16
216.24.71.33,16
175.142.72.221,56
217.16.95.250,76
110.35.128.59,16
2.192.19.114,232
203.96.236.63,16
178.210.40.233,16
95.95.193.64,56
5.255.51.181,16
27.254.80.237,16
212.1.108.177,16
83.221.208.7,56
82.107.242.254,16
172.17.230.42,16
182.54.128.153,16
83.69.121.165,16
71.27.234.178,56
58.27.164.2,16
47.254.196.74,448
216.167.133.84,16
2.133.129.134,16
61.19.143.65,16
31.217.251.5,16
63.145.208.238,16
109.104.199.209,56
181.197.217.46,56
62.212.110.78,60
175.101.110.45,56
107.155.155.48,16
83.220.233.94,16
200.208.56.86,16
200.46.4.144,56
176.98.239.126,16
218.172.74.77,76
193.104.253.210,16
201.94.237.16,56
143.215.194.214,16
200.174.42.170,16
76.81.70.150,16
123.20.220.188,56
185.166.144.249,16
89.30.3.93,16
187.29.177.130,16
185.30.129.173,16
14.241.205.54,56
202.78.98.137,16
208.65.160.17,16
80.76.206.38,16
58.97.102.210,16
132.247.123.157,16
5.255.51.170,16
217.79.186.206,16
86.63.18.12,16
140.128.167.11,56
24.237.224.36,16
89.251.240.82,16
1.52.116.147,56
186.207.86.28,56
216.185.251.1,16
212.27.47.112,16
68.69.151.39,16
181.217.190.59,56
171.227.214.15,56
80.65.161.125,16
177.142.211.172,56
34.205.142.29,26
2.133.129.220,16
122.255.112.1,16
186.179.122.150,56
45.116.179.250,448
154.119.166.150,16
187.32.27.134,56
216.24.0.65,16
31.222.195.3,16
88.80.232.212,56
201.48.130.37,16
185.231.161.153,56
205.128.87.66,16
67.198.28.18,16
205.245.9.169,16
8.28.152.42,16
183.178.75.68,16
91.241.196.133,56
185.78.236.98,16
189.22.202.126,16
200.203.21.85,56
169.197.80.130,16
59.187.192.1,16
72.18.1.18,16
100.105.105.118,16
201.54.160.114,16
123.98.160.1,16
85.235.181.37,16
202.78.200.1,16
80.93.116.190,16
200.241.218.214,16
84.237.19.209,16
118.69.104.25,56
64.182.161.80,16
201.90.4.134,16
177.67.203.157,56
176.45.223.103,56
92.86.246.230,16
12.232.253.98,16
150.242.108.121,16
50.225.96.13,16
31.145.13.2,16
1.34.48.206,56
78.36.59.145,16
106.1.51.120,56
208.86.208.113,16
2.36.253.138,56
46.181.125.44,16
171.243.155.37,56
223.197.205.232,56
212.27.47.88,16
194.186.183.46,16
201.11.132.227,56
198.144.192.142,16
175.99.16.76,16
181.166.203.214,56
220.135.137.17,76
201.41.244.86,56
31.202.62.180,56
86.208.91.189,56
201.65.166.230,16
134.65.188.32,16
187.25.208.142,16
205.233.78.113,16
218.111.102.118,16
210.153.1.204,16
50.52.41.12,56
203.219.98.245,16
189.1.18.193,56
36.229.82.221,76
207.230.130.2,16
27.73.169.6,56
94.152.2.11,76
14.136.103.236,16
200.208.61.118,16
205.201.202.237,16
5.83.85.23,56
200.111.239.130,16
201.44.159.218,16
196.218.116.198,56
177.193.173.219,56
100.110.220.53,16
212.27.47.101,16
171.246.104.25,56
171.252.47.130,56
103.54.43.204,56
45.90.209.7,16
43.201.254.153,26
217.26.76.69,16
62.141.100.157,16
203.231.98.9,16
195.128.81.98,16
171.235.41.0,56
100.101.23.157,16
45.164.179.59,56
210.253.43.7,16
133.88.2.109,16
191.221.135.237,56
218.161.81.130,56
62.147.120.67,16
213.85.182.233,16
114.199.195.61,56
200.170.183.102,56
107.204.219.1,56
162.221.128.97,16
185.32.56.45,16
189.40.251.24,16
89.163.136.173,16
213.243.45.2,56
200.146.212.142,56
69.7.82.2,16
125.228.84.98,56
77.244.186.4,16
181.48.81.88,56
190.8.43.233,16
80.16.180.186,16
172.20.248.178,16
41.174.156.137,16
157.101.225.22,16
188.187.195.4,16
89.121.221.225,16
177.75.160.54,56
217.11.67.137,16
207.70.186.41,16
193.151.82.20,56
45.152.27.42,16
82.88.118.254,16
212.1.102.41,16
46.40.15.222,56
