saddr,udp_pkt_size
113.61.10.53,681
118.14.149.39,17
118.14.109.212,17
232.8.77.70,33
118.14.252.138,17
200.124.121.126,768
118.14.196.222,17
103.127.190.27,978
118.14.239.30,17
118.14.245.77,17
118.14.48.1,17
118.14.183.113,17
108.34.233.8,571
135.105.41.163,33
120.152.33.211,8
74.195.17.220,835
116.54.117.234,835
111.14.179.54,835
118.14.103.152,17
89.144.183.172,1010
15.207.20.247,26
92.134.107.89,520
118.14.145.89,17
118.14.12.25,17
108.237.44.109,681
113.61.12.22,681
0.198.111.218,33
99.60.89.173,964
119.117.123.69,2062
75.109.220.165,964
83.196.218.78,571
119.149.215.63,1675
253.168.158.88,33
118.14.193.144,17
112.132.244.74,33
28.109.72.233,33
166.249.66.58,571
166.150.201.20,1142
63.128.51.31,33
129.23.202.126,33
68.95.182.219,1247
38.50.69.122,964
238.40.247.50,33
97.68.105.171,33
118.14.213.44,17
235.28.202.230,33
219.139.76.177,1980
140.115.187.245,979
107.131.240.171,1754
239.175.147.220,33
217.117.128.251,581
118.14.235.239,17
68.188.48.189,496
96.127.141.146,520
213.91.177.198,571
61.216.73.88,520
92.241.100.171,2879
81.226.222.199,1809
110.67.30.83,571
212.3.146.108,3014
223.200.27.65,978
118.14.41.187,17
118.14.67.248,17
118.14.34.23,17
59.147.42.251,28
118.14.252.217,17
118.14.53.55,17
118.14.236.89,17
187.216.15.204,571
234.53.179.173,59
5.129.141.69,496
118.14.216.142,17
118.14.172.248,17
118.14.150.201,17
8.18.228.2,571
51.92.109.6,67
118.14.98.238,17
52.248.228.51,61
118.14.221.4,17
118.14.166.124,17
118.14.71.197,17
167.206.72.255,63
47.249.180.193,1601
84.194.153.199,1701
217.128.60.246,571
167.214.146.52,27
173.81.183.170,964
50.184.99.213,571
118.14.171.68,17
35.91.230.197,26
206.248.220.110,891
89.15.153.184,33
3.112.102.142,33
54.167.133.200,26
136.133.49.126,33
122.215.134.176,891
164.141.194.230,33
118.14.173.150,17
118.14.161.120,17
18.202.249.72,26
128.100.164.36,571
211.20.204.78,1010
118.14.255.18,17
183.230.190.246,835
83.239.11.198,1655
118.14.189.129,17
129.173.108.218,964
27.74.28.110,2821
177.90.82.4,33
128.59.233.188,891
122.192.103.46,835
24.179.132.114,33
79.50.221.79,978
129.94.26.114,910
87.2.122.201,3014
90.133.151.132,571
85.26.192.162,1809
201.151.80.94,835
216.173.131.201,571
35.130.124.139,978
96.1.100.119,571
183.82.38.83,978
122.116.252.213,2900
112.105.58.205,1638
92.244.232.225,829
67.165.38.135,571
65.58.234.150,571
118.14.96.100,17
96.93.76.230,2413
203.193.147.208,978
166.139.9.94,571
59.90.246.136,876
218.3.85.93,835
174.126.222.210,582
199.241.243.74,571
89.114.217.62,2360
118.14.113.198,17
118.14.31.119,17
111.46.50.147,1010
118.14.63.7,17
118.14.117.142,17
13.246.198.233,26
87.101.74.69,978
52.14.24.64,26
118.14.241.101,17
118.14.128.197,17
118.14.241.126,17
118.14.32.29,17
118.14.195.2,17
13.51.233.240,26
118.14.251.203,17
99.127.12.190,571
92.115.190.160,835
118.14.15.170,17
185.213.169.202,876
118.14.24.220,17
118.14.11.52,17
118.14.60.182,17
61.61.29.23,1638
91.202.185.41,798
212.52.162.113,2821
24.98.207.143,571
118.14.173.175,17
31.132.18.242,598
118.14.134.248,17
118.14.248.20,17
129.21.190.201,571
118.14.229.9,17
118.14.155.56,17
75.97.70.107,582
118.14.60.211,17
118.14.184.187,17
118.14.116.151,17
183.80.125.213,835
118.14.106.61,17
118.14.63.38,17
51.20.107.209,26
151.67.213.148,964
122.194.45.6,835
43.224.182.101,835
174.126.222.11,891
118.14.36.247,17
118.14.223.124,17
118.14.84.132,17
118.14.37.174,17
98.123.76.230,571
118.14.62.53,17
96.73.85.107,571
118.14.112.192,17
118.14.250.81,17
118.14.228.157,17
118.14.175.245,17
118.14.52.155,17
118.14.48.254,17
118.14.18.2,17
68.60.200.208,571
72.73.71.230,835
118.14.149.74,17
118.14.74.229,17
118.14.157.193,17
118.14.207.45,17
128.46.52.188,571
118.14.84.69,17
54.174.116.55,26
118.14.182.60,17
118.14.37.91,17
82.66.2.21,2622
96.82.121.218,681
114.32.226.146,978
201.92.115.59,3014
83.242.232.227,571
141.89.202.13,824
68.81.112.74,571
50.223.239.162,13
213.155.195.76,3014
163.20.200.165,910
213.113.248.74,1809
69.117.185.103,681
109.229.28.122,3014
118.14.104.95,17
118.14.53.15,17
118.14.62.229,17
98.175.223.115,520
117.56.248.46,978
118.14.13.196,17
150.254.110.158,891
118.14.36.155,17
1.55.143.102,835
86.11.132.126,2360
84.32.196.200,2595
166.154.108.66,571
85.26.192.110,1809
109.194.174.249,835
91.179.235.136,891
78.187.140.251,652
87.26.21.108,891
83.251.50.229,3051
120.224.63.6,835
